Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C2",C_0805,4,22uF,C45783
"C10, C13, C14, C15, C16, C17, C6, C7, C8, C9",C_1206,10,22uF,C12891
"C18, C19, C20, C21, C22, C23, C24, C25, C26, C29",C_0805,10,100nF,C28233
"C27, C28",C_0805,2,1uF,C28323
C3,C_0805,1,10nF,C1710
"C30, C31",C_0805,2,15pF,C107110
C4,"C_Plugin,D10xL16mm",1,470uF,C3015599
C5,C_0805,1,10uF,C440198
"D1, D2",D_SOD-123,2,B0530W,C7502708
"D10, D11, D16, D17, D22, D23, D26, D27, D31, D33, D35, D37, D4, D5, D6",SOT-323-3_L2.0-W1.3-P1.30-LS2.1-BR-2,15,BAT54SW_C22466373,C22466373
"D13, D14, D19, D20, D24, D25, D28, D29, D30, D32, D34, D36, D7, D8, D9",D_DFN1006-2L,15,H24VL10B,C20617912
D3,D_SMC,1,SS56,C2898934
J1,TYPE-C-SMD_HX-TYPE-C-16PIN,1,"Connector, USB-TYPE-C-16P",C2927039
"J2, J3",CONN11_2601-3111_WAG,2,2601-3111,
"J4, J5, J6",CONN4_2601-3104_WAG,3,2601-3104,
J7,HDR-TH_8P-P2.54-V-M,1,"Header, 2.54mm, 1x8P, Male, Vertical",C2829996
L1,"L_SMD,12.5x12.5mm",1,"22uH,4.95A",C2924827
"Q1, Q10, Q11, Q12, Q13, Q2, Q3, Q4, Q5, Q7, Q8",Q_SOT-23,11,HL3400A,C7420348
"R1, R2",R_0805,2,5.1kΩ,C27834
"R10, R12, R14, R21, R22, R23, R25, R27, R36, R37, R4, R40, R42, R5, R51, R52, R55, R57, R62, R63, R65, R67, R72, R73, R74, R76, R78, R80",R_0805,28,10kΩ,C17414
"R11, R13, R24, R26, R39, R41, R54, R56, R64, R66, R9",R_0805,11,68kΩ,C17801
"R15, R16, R17, R30, R31, R45, R46, R58, R59, R68, R69",R_0805,11,220Ω,C17557
"R18, R19, R20, R33, R34, R48, R49, R60, R61, R70, R71",R_1206,11,10kΩ,C17902
R3,R_0805,1,1.4kΩ,C101470
"R6, R7",R_0805,2,27Ω,C17594
"R75, R77, R79, R81",R_0805,4,4.3kΩ,C17667
R8,R_0805,1,1kΩ,C17513
S1,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,1,"Tactile Button, 160gf",C318884
U1,SOT-223_L6.5-W3.5-P2.30-LS7.0-BR,1,AMS1117,C6187
U2,ESOP-8_L4.9-W3.9-P1.27-LS6.0-TL-EP,1,TPS5430DDAR,C9864
U3,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,1,AMS1117,C6186
U4,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,
U5,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3,
